"","ID","Intercept","umol.L.sec","Temp.C"
"883","G8_AL_32C_O2",223.12672372549,0.0466306862745101,31.74595
"884","G8_AL_34C_O2",202.560976617406,0.0397938259441708,34.0177777777778
"885","G8_AL_36C_O2",162.931145529832,0.018431545266328,35.7011935483871
"886","G8_AL_39C_O2",132.37530831965,-0.0285776135741651,38.9800625
"887","G8_AL_42C_O2",111.062510671602,-0.0333028979375991,42.0431551724138
"888","G8_ND_16C_O2",219.343621742994,-0.00942006835269995,15.8176060606061
"889","G8_ND_20C_O2",208.994042105263,-0.0128315789473685,20.104023255814
"890","G8_ND_22C_O2",215.295752775633,-0.0131073444873444,21.8013658536585
"891","G8_ND_24C_O2",209.771947030365,-0.014064677423945,23.9068392857143
"892","G8_ND_26C_O2",194.68434332422,-0.0152869332421964,25.8169827586207
"893","G8_ND_28C_O2",184.210368313725,-0.0159468011204482,27.8163214285714
"894","G8_ND_30C_O2",164.349209955973,-0.0168889933284716,30.0162641509434
"895","G8_ND_32C_O2",133.867305655902,-0.0146326947637291,31.8565714285714
"896","G8_ND_34C_O2",151.776515588235,-0.0198038235294119,33.8509090909091
"897","G8_ND_36C_O2",147.929545378151,-0.0193806722689075,35.9906341463415
"898","G8_ND_39C_O2",48.2636301994302,-0.035134472934473,39.0021842105263
"899","G8_ND_42C_O2",81.2631559683523,-0.0162787753697971,42.43315
"900","G8Blank_NL_16C_O2",248.861064176323,-0.00124908840450537,16.1425961538462
"901","G8Blank_NL_20C_O2",241.272424755621,-0.00168117057673486,19.84425
"902","G8Blank_NL_22C_O2",233.725657575083,-0.00197585465331854,21.8524
"903","G8Blank_NL_24C_O2",226.282127200929,-0.00276117305458772,23.8876481481481
"904","G8Blank_NL_26C_O2",215.086034536671,-0.00208152832674568,26.0112641509434
"905","G8Blank_NL_28C_O2",204.152960470588,-0.00464399999999995,27.9746964285714
"906","G8Blank_NL_30C_O2",197.18210340497,-0.00227603924113449,30.2213
"907","G8Blank_NL_32C_O2",178.039837428571,-0.00469783673469387,31.8460588235294
"908","G8Blank_NL_34C_O2",155.905999441786,-0.00631335156072007,33.9803827160494
"909","G8Blank_NL_36C_O2",139.499354650538,-0.00691594086021506,35.9786315789474
"910","G8Blank_NL_39C_O2",122.993450909091,-0.00999636363636341,38.6365333333333
"911","G8Blank_NL_42C_O2",130.755272294372,-0.0122766233766234,41.9301538461538
"912","G9_AD_16C_O2",249.654137604827,-0.010171209653092,16.1513636363636
"913","G9_AD_20C_O2",228.655030382196,-0.0162597000483793,19.9188103448276
"914","G9_AD_22C_O2",236.730248262911,-0.0184657679409792,22.0042913385827
"915","G9_AD_24C_O2",238.05731048156,-0.0199001221517501,23.9629074074074
"916","G9_AD_26C_O2",231.536638818681,-0.0209266620879121,26.016869047619
"917","G9_AD_28C_O2",230.153204872889,-0.0237103986577671,27.8070555555556
"918","G9_AD_30C_O2",216.252336335447,-0.0246238618745594,30.1729272727273
"919","G9_AD_32C_O2",206.703390884354,-0.0272684353741497,31.8941369863014
"920","G9_AD_34C_O2",177.866896634803,-0.0253652749511768,34.0735176470588
"921","G9_AD_36C_O2",173.039547435897,-0.0252974358974359,35.8732
"922","G9_AD_39C_O2",146.48,-0.0236944444444442,38.4643571428571
"923","G9_AD_42C_O2",121.042743376623,-0.0268645887445887,41.6958076923077
"924","G9_AL_16C_O2",323.069354115032,0.046594639251644,15.9399411764706
"925","G9_AL_20C_O2",255.019772885154,0.0636287955182075,19.8524905660377
"926","G9_AL_22C_O2",247.991898990447,0.0561279852366478,21.8928035714286
"927","G9_AL_24C_O2",254.253969161381,0.0581957434813249,23.85986
"928","G9_AL_26C_O2",232.479472344044,0.054182797799971,25.9986666666667
"929","G9_AL_28C_O2",228.819040697879,0.0507594461784713,27.8521851851852
"930","G9_AL_30C_O2",232.04854295082,0.0397814278159704,29.8399605263158
"931","G9_AL_32C_O2",210.738722705314,0.0355652173913043,32.095
"932","G9_AL_34C_O2",208.675052,0.0283479999999999,33.8623225806452
"933","G9_AL_36C_O2",163.990809130435,0.00730173913043459,35.7400888888889
"934","G9_AL_39C_O2",133.536611368342,-0.0283685676642199,38.9056071428571
"935","G9_AL_42C_O2",128.702470337764,-0.0283370993850606,41.7716349206349
"936","G9_ND_16C_O2",215.243881171463,-0.0101528568705927,15.830303030303
"937","G9_ND_20C_O2",198.214832598039,-0.0136186942959003,20.1543333333333
"938","G9_ND_22C_O2",216.924077044867,-0.0137236974395114,21.8274807692308
